"year","statistical_region","treatment_inlet_delivered_waste_code","input_waste_name","waste_category","treatment_outlet_delivered_waste_code","output_waste_name","waste_category_1","waste_handed_to_collectors_RS","waste_delivered_to_operators_RS","waste_sent_to_EU","waste_sent_to_non_EU"
2021,"GORENJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",0,0,276.647,0
2021,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0,3101.363,0,0
2021,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",0,48.45,0,0
2021,"GORENJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",0,1700.78,4558.987,0
2021,"GORENJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",0,10.92,671.57,0
2021,"GORENJSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",90.57,223.69,0,0
2021,"GORENJSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",0,0,295.838,0
2021,"GORENJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",0,0,1094.51,0
2021,"GORENJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",0,860.121,420.32,0
2021,"GORENJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",0,56.42,0,0
2021,"GORENJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",0,606.87,2574.74,0
