year,statistical_region,name_of_municipality,type_of_waste,total_waste_collected
2018,GORENJSKA,BLED,Bulky Municipal Waste (20 03 07),218.78
2018,GORENJSKA,BLED,Non-hazardous Wood from Municipal Waste (20 01 38),372.34
2018,GORENJSKA,BLED,Paper and Cardboard Packaging (15 01 01),100.206
2018,GORENJSKA,BLED,Paper and Cardboard from Municipal Waste (20 01 01),425.685
2018,GORENJSKA,BOHINJSKA BISTRICA,Bulky Municipal Waste (20 03 07),226.98
2018,GORENJSKA,BOHINJSKA BISTRICA,Paper and Cardboard Packaging (15 01 01),44
2018,GORENJSKA,BOHINJSKA BISTRICA,Paper and Cardboard from Municipal Waste (20 01 01),46.564
2018,GORENJSKA,GORENJA VAS,Bulky Municipal Waste (20 03 07),141.22
2018,GORENJSKA,GORENJA VAS,Non-hazardous Wood from Municipal Waste (20 01 38),56.78
2018,GORENJSKA,GORENJA VAS,Paper and Cardboard Packaging (15 01 01),28.291
2018,GORENJSKA,GORENJA VAS,Paper and Cardboard from Municipal Waste (20 01 01),78.477
2018,GORENJSKA,GOZD MARTULJEK,Bulky Municipal Waste (20 03 07),252.576
2018,GORENJSKA,GOZD MARTULJEK,Paper and Cardboard Packaging (15 01 01),119.444
2018,GORENJSKA,GOZD MARTULJEK,Paper and Cardboard from Municipal Waste (20 01 01),55.521
2018,GORENJSKA,JESENICE,Bulky Municipal Waste (20 03 07),1181.58
2018,GORENJSKA,JESENICE,Non-hazardous Wood from Municipal Waste (20 01 38),355.2
2018,GORENJSKA,JESENICE,Paper and Cardboard Packaging (15 01 01),136.016
2018,GORENJSKA,JESENICE,Paper and Cardboard from Municipal Waste (20 01 01),362.55
2018,GORENJSKA,KRANJ,Bulky Municipal Waste (20 03 07),649.565
2018,GORENJSKA,KRANJ,Non-hazardous Wood from Municipal Waste (20 01 38),1251.99
2018,GORENJSKA,KRANJ,Paper and Cardboard Packaging (15 01 01),536.96
2018,GORENJSKA,KRANJ,Paper and Cardboard from Municipal Waste (20 01 01),752.682
2018,GORENJSKA,KRANJ,Wooden Packaging (15 01 03),26.46
2018,GORENJSKA,RADOVLJICA,Bulky Municipal Waste (20 03 07),544.84
2018,GORENJSKA,RADOVLJICA,Non-hazardous Wood from Municipal Waste (20 01 38),478.33
2018,GORENJSKA,RADOVLJICA,Paper and Cardboard Packaging (15 01 01),177.579
2018,GORENJSKA,RADOVLJICA,Paper and Cardboard from Municipal Waste (20 01 01),371.676
2018,GORENJSKA,TRŽIČ,Bulky Municipal Waste (20 03 07),301.86
2018,GORENJSKA,TRŽIČ,Non-hazardous Wood from Municipal Waste (20 01 38),153.8
2018,GORENJSKA,TRŽIČ,Paper and Cardboard Packaging (15 01 01),113.077
2018,GORENJSKA,TRŽIČ,Paper and Cardboard from Municipal Waste (20 01 01),120.726
2018,GORENJSKA,ŠKOFJA LOKA,Bulky Municipal Waste (20 03 07),379.22
2018,GORENJSKA,ŠKOFJA LOKA,Paper and Cardboard Packaging (15 01 01),369.287
2018,GORENJSKA,ŠKOFJA LOKA,Paper and Cardboard from Municipal Waste (20 01 01),451.024
2018,GORENJSKA,ŠKOFJA LOKA,Wooden Packaging (15 01 03),102.42
2018,GORENJSKA,ŽIRI,Bulky Municipal Waste (20 03 07),40.12
2018,GORENJSKA,ŽIRI,Non-hazardous Wood from Municipal Waste (20 01 38),91.14
2018,GORENJSKA,ŽIRI,Paper and Cardboard Packaging (15 01 01),24.623
2018,GORENJSKA,ŽIRI,Paper and Cardboard from Municipal Waste (20 01 01),117.033
2018,GORENJSKA,ŽIRI,Wooden Packaging (15 01 03),14.54
2018,GORIŠKA,AJDOVŠČINA,Bulky Municipal Waste (20 03 07),303.26
2018,GORIŠKA,AJDOVŠČINA,Non-hazardous Wood from Municipal Waste (20 01 38),142.35
2018,GORIŠKA,AJDOVŠČINA,Paper and Cardboard Packaging (15 01 01),229.544
2018,GORIŠKA,AJDOVŠČINA,Paper and Cardboard from Municipal Waste (20 01 01),467.795
2018,GORIŠKA,AJDOVŠČINA,Wooden Packaging (15 01 03),3
2018,GORIŠKA,IDRIJA,Bulky Municipal Waste (20 03 07),427.26
2018,GORIŠKA,IDRIJA,Non-hazardous Wood from Municipal Waste (20 01 38),442.29
2018,GORIŠKA,IDRIJA,Paper and Cardboard Packaging (15 01 01),249.322
2018,GORIŠKA,IDRIJA,Paper and Cardboard from Municipal Waste (20 01 01),299.619
2018,GORIŠKA,NOVA GORICA,Bulky Municipal Waste (20 03 07),1829.908
2018,GORIŠKA,NOVA GORICA,Non-hazardous Wood from Municipal Waste (20 01 38),1744.62
2018,GORIŠKA,NOVA GORICA,Paper and Cardboard Packaging (15 01 01),282.246
2018,GORIŠKA,NOVA GORICA,Paper and Cardboard from Municipal Waste (20 01 01),2230.296
2018,GORIŠKA,NOVA GORICA,Wooden Packaging (15 01 03),151.086
2018,GORIŠKA,TOLMIN,Bulky Municipal Waste (20 03 07),217.29
2018,GORIŠKA,TOLMIN,Non-hazardous Wood from Municipal Waste (20 01 38),475.54
2018,GORIŠKA,TOLMIN,Paper and Cardboard Packaging (15 01 01),418.504
2018,GORIŠKA,TOLMIN,Paper and Cardboard from Municipal Waste (20 01 01),103.99
2018,GORIŠKA,TOLMIN,Wooden Packaging (15 01 03),0.2
2018,JUGOVZHODNA SLOVENIJA,KOČEVJE,Bulky Municipal Waste (20 03 07),895.24
2018,JUGOVZHODNA SLOVENIJA,KOČEVJE,Non-hazardous Wood from Municipal Waste (20 01 38),647.48
2018,JUGOVZHODNA SLOVENIJA,KOČEVJE,Paper and Cardboard Packaging (15 01 01),168.893
2018,JUGOVZHODNA SLOVENIJA,KOČEVJE,Paper and Cardboard from Municipal Waste (20 01 01),88.015
2018,JUGOVZHODNA SLOVENIJA,METLIKA,Bulky Municipal Waste (20 03 07),119.54
2018,JUGOVZHODNA SLOVENIJA,METLIKA,Non-hazardous Wood from Municipal Waste (20 01 38),188.82
2018,JUGOVZHODNA SLOVENIJA,METLIKA,Paper and Cardboard Packaging (15 01 01),124.379
2018,JUGOVZHODNA SLOVENIJA,NOVO MESTO,Bulky Municipal Waste (20 03 07),606.1
2018,JUGOVZHODNA SLOVENIJA,NOVO MESTO,Non-hazardous Wood from Municipal Waste (20 01 38),1031.76
2018,JUGOVZHODNA SLOVENIJA,NOVO MESTO,Paper and Cardboard Packaging (15 01 01),419.143
2018,JUGOVZHODNA SLOVENIJA,NOVO MESTO,Paper and Cardboard from Municipal Waste (20 01 01),315.101
2018,JUGOVZHODNA SLOVENIJA,NOVO MESTO,Wooden Packaging (15 01 03),178.83
2018,JUGOVZHODNA SLOVENIJA,RIBNICA,Bulky Municipal Waste (20 03 07),293.9
2018,JUGOVZHODNA SLOVENIJA,RIBNICA,Non-hazardous Wood from Municipal Waste (20 01 38),177.914
2018,JUGOVZHODNA SLOVENIJA,RIBNICA,Paper and Cardboard Packaging (15 01 01),90.573
2018,JUGOVZHODNA SLOVENIJA,RIBNICA,Paper and Cardboard from Municipal Waste (20 01 01),58.887
2018,JUGOVZHODNA SLOVENIJA,TREBNJE,Bulky Municipal Waste (20 03 07),215.36
2018,JUGOVZHODNA SLOVENIJA,TREBNJE,Non-hazardous Wood from Municipal Waste (20 01 38),301.88
2018,JUGOVZHODNA SLOVENIJA,TREBNJE,Paper and Cardboard Packaging (15 01 01),126.953
2018,JUGOVZHODNA SLOVENIJA,TREBNJE,Paper and Cardboard from Municipal Waste (20 01 01),50.2
2018,JUGOVZHODNA SLOVENIJA,ČRNOMELJ,Bulky Municipal Waste (20 03 07),382.23
2018,JUGOVZHODNA SLOVENIJA,ČRNOMELJ,Non-hazardous Wood from Municipal Waste (20 01 38),25.32
2018,JUGOVZHODNA SLOVENIJA,ČRNOMELJ,Paper and Cardboard Packaging (15 01 01),172.591
2018,JUGOVZHODNA SLOVENIJA,ČRNOMELJ,Paper and Cardboard from Municipal Waste (20 01 01),67.185
2018,KOROŠKA,DRAVOGRAD,Bulky Municipal Waste (20 03 07),239.82
2018,KOROŠKA,DRAVOGRAD,Paper and Cardboard Packaging (15 01 01),81.124
2018,KOROŠKA,DRAVOGRAD,Paper and Cardboard from Municipal Waste (20 01 01),8.66
2018,KOROŠKA,RADLJE OB DRAVI,Bulky Municipal Waste (20 03 07),263.14
2018,KOROŠKA,RADLJE OB DRAVI,Paper and Cardboard Packaging (15 01 01),39.852
2018,KOROŠKA,RADLJE OB DRAVI,Paper and Cardboard from Municipal Waste (20 01 01),54.978
2018,KOROŠKA,RAVNE NA KOROŠKEM,Bulky Municipal Waste (20 03 07),607.7
2018,KOROŠKA,RAVNE NA KOROŠKEM,Paper and Cardboard Packaging (15 01 01),26.86
2018,KOROŠKA,RAVNE NA KOROŠKEM,Paper and Cardboard from Municipal Waste (20 01 01),146.02
2018,KOROŠKA,SLOVENJ GRADEC,Bulky Municipal Waste (20 03 07),712.45
2018,KOROŠKA,SLOVENJ GRADEC,Paper and Cardboard Packaging (15 01 01),136.362
2018,KOROŠKA,SLOVENJ GRADEC,Paper and Cardboard from Municipal Waste (20 01 01),6.7
2018,OBALNOKRAŠKA,IZOLA,Bulky Municipal Waste (20 03 07),252.32
2018,OBALNOKRAŠKA,IZOLA,Non-hazardous Wood from Municipal Waste (20 01 38),588.62
2018,OBALNOKRAŠKA,IZOLA,Paper and Cardboard Packaging (15 01 01),159.779
2018,OBALNOKRAŠKA,IZOLA,Paper and Cardboard from Municipal Waste (20 01 01),408.269
2018,OBALNOKRAŠKA,IZOLA,Wooden Packaging (15 01 03),17.17
2018,OBALNOKRAŠKA,KOPER,Bulky Municipal Waste (20 03 07),374.66
2018,OBALNOKRAŠKA,KOPER,Non-hazardous Wood from Municipal Waste (20 01 38),1811.62
2018,OBALNOKRAŠKA,KOPER,Paper and Cardboard Packaging (15 01 01),335.896
2018,OBALNOKRAŠKA,KOPER,Paper and Cardboard from Municipal Waste (20 01 01),1312.966
2018,OBALNOKRAŠKA,PIRAN,Bulky Municipal Waste (20 03 07),278.56
2018,OBALNOKRAŠKA,PIRAN,Non-hazardous Wood from Municipal Waste (20 01 38),650.79
2018,OBALNOKRAŠKA,PIRAN,Paper and Cardboard Packaging (15 01 01),566.171
2018,OBALNOKRAŠKA,PIRAN,Paper and Cardboard from Municipal Waste (20 01 01),174.854
2018,OBALNOKRAŠKA,SEŽANA,Bulky Municipal Waste (20 03 07),280.36
2018,OBALNOKRAŠKA,SEŽANA,Non-hazardous Wood from Municipal Waste (20 01 38),434.06
2018,OBALNOKRAŠKA,SEŽANA,Paper and Cardboard Packaging (15 01 01),214.214
2018,OBALNOKRAŠKA,SEŽANA,Paper and Cardboard from Municipal Waste (20 01 01),807.648
2018,OSREDNJESLOVENSKA,DOMŽALE,Bulky Municipal Waste (20 03 07),1116.86
2018,OSREDNJESLOVENSKA,DOMŽALE,Non-hazardous Wood from Municipal Waste (20 01 38),1.71
2018,OSREDNJESLOVENSKA,DOMŽALE,Paper and Cardboard Packaging (15 01 01),636.404
2018,OSREDNJESLOVENSKA,DOMŽALE,Paper and Cardboard from Municipal Waste (20 01 01),1080.152
2018,OSREDNJESLOVENSKA,GROSUPLJE,Bulky Municipal Waste (20 03 07),459.16
2018,OSREDNJESLOVENSKA,GROSUPLJE,Non-hazardous Wood from Municipal Waste (20 01 38),542.55
2018,OSREDNJESLOVENSKA,GROSUPLJE,Paper and Cardboard Packaging (15 01 01),285.144
2018,OSREDNJESLOVENSKA,GROSUPLJE,Paper and Cardboard from Municipal Waste (20 01 01),910.666
2018,OSREDNJESLOVENSKA,GROSUPLJE,Wooden Packaging (15 01 03),52.36
2018,OSREDNJESLOVENSKA,LJUBLJANA,Bulky Municipal Waste (20 03 07),9901.119999999999
2018,OSREDNJESLOVENSKA,LJUBLJANA,Non-hazardous Wood from Municipal Waste (20 01 38),6191.34
2018,OSREDNJESLOVENSKA,LJUBLJANA,Paper and Cardboard Packaging (15 01 01),3643.709
2018,OSREDNJESLOVENSKA,LJUBLJANA,Paper and Cardboard from Municipal Waste (20 01 01),12521.181
2018,OSREDNJESLOVENSKA,LJUBLJANA,Wooden Packaging (15 01 03),290.95
2018,OSREDNJESLOVENSKA,LOGATEC,Bulky Municipal Waste (20 03 07),286.91
2018,OSREDNJESLOVENSKA,LOGATEC,Non-hazardous Wood from Municipal Waste (20 01 38),294.23
2018,OSREDNJESLOVENSKA,LOGATEC,Paper and Cardboard Packaging (15 01 01),123.826
2018,OSREDNJESLOVENSKA,LOGATEC,Paper and Cardboard from Municipal Waste (20 01 01),209.661
2018,OSREDNJESLOVENSKA,VRHNIKA,Bulky Municipal Waste (20 03 07),191.72
2018,OSREDNJESLOVENSKA,VRHNIKA,Non-hazardous Wood from Municipal Waste (20 01 38),664.62
2018,OSREDNJESLOVENSKA,VRHNIKA,Paper and Cardboard Packaging (15 01 01),143.281
2018,OSREDNJESLOVENSKA,VRHNIKA,Paper and Cardboard from Municipal Waste (20 01 01),793.715
2018,OSREDNJESLOVENSKA,VRHNIKA,Wooden Packaging (15 01 03),0.459
2018,PODRAVSKA,MARIBOR,Bulky Municipal Waste (20 03 07),2760.19
2018,PODRAVSKA,MARIBOR,Non-hazardous Wood from Municipal Waste (20 01 38),4700.491
2018,PODRAVSKA,MARIBOR,Paper and Cardboard Packaging (15 01 01),606.05
2018,PODRAVSKA,MARIBOR,Paper and Cardboard from Municipal Waste (20 01 01),3430.557
2018,PODRAVSKA,MARIBOR,Wooden Packaging (15 01 03),20.76
2018,PODRAVSKA,ORMOŽ,Bulky Municipal Waste (20 03 07),201.92
2018,PODRAVSKA,ORMOŽ,Non-hazardous Wood from Municipal Waste (20 01 38),62.42
2018,PODRAVSKA,ORMOŽ,Paper and Cardboard Packaging (15 01 01),113.394
2018,PODRAVSKA,ORMOŽ,Paper and Cardboard from Municipal Waste (20 01 01),114.806
2018,PODRAVSKA,PTUJ,Bulky Municipal Waste (20 03 07),2389.064
2018,PODRAVSKA,PTUJ,Non-hazardous Wood from Municipal Waste (20 01 38),657.586
