"year","statistical_region","waste_code","type_of_waste","previous_stored_start_year","previous_stored_end_year"
2021,"GORENJSKA","15 01 01","Paper/Cardboard Packaging",100,17689
2021,"GORENJSKA","17 02 01","Wood",0,300
2021,"GORIŠKA","03 01 05","Sawdust/Chips/Wood, not specified in 03 01 04",12080,1820
2021,"GORIŠKA","15 01 01","Paper/Cardboard Packaging",29136,74773
2021,"GORIŠKA","15 01 03","Wooden packaging",24644,68944
2021,"GORIŠKA","17 02 01","Wood",320414,197834
2021,"GORIŠKA","20 01 38","Wood, not specified in 20 01 37",830960,234200
2021,"JUGOVZHODNA SLOVENIJA","03 01 01","Bark and Cork Waste",355,355
2021,"JUGOVZHODNA SLOVENIJA","03 01 05","Sawdust/Chips/Wood, not specified in 03 01 04",13866590,13962146
2021,"JUGOVZHODNA SLOVENIJA","15 01 01","Paper/Cardboard Packaging",42212,45293
2021,"JUGOVZHODNA SLOVENIJA","15 01 03","Wooden packaging",168640,184785
2021,"KOROŠKA","15 01 01","Paper/Cardboard Packaging",23810,11635
2021,"KOROŠKA","15 01 03","Wooden packaging",0,8738
2021,"KOROŠKA","17 02 01","Wood",16260,31610
2021,"OBALNO-KRAŠKA","03 01 05","Sawdust/Chips/Wood, not specified in 03 01 04",14560,22680
2021,"OBALNO-KRAŠKA","15 01 03","Wooden packaging",2940,0
2021,"OSREDNJESLOVENSKA","15 01 01","Paper/Cardboard Packaging",0,9290
2021,"OSREDNJESLOVENSKA","15 01 03","Wooden packaging",3460,0
2021,"OSREDNJESLOVENSKA","20 01 38","Wood, not specified in 20 01 37",0,167417
2021,"PODRAVSKA","15 01 01","Paper/Cardboard Packaging",895,7593
2021,"PODRAVSKA","15 01 03","Wooden packaging",23590,18220
2021,"PODRAVSKA","17 02 01","Wood",111200,131530
2021,"PODRAVSKA","20 01 38","Wood, not specified in 20 01 37",96600,130480
2021,"POMURSKA","15 01 01","Paper/Cardboard Packaging",5840,17719
2021,"POMURSKA","15 01 03","Wooden packaging",4542,6013
2021,"POSAVSKA","03 01 05","Sawdust/Chips/Wood, not specified in 03 01 04",0,6300
2021,"POSAVSKA","15 01 01","Paper/Cardboard Packaging",2930,36193
2021,"POSAVSKA","15 01 03","Wooden packaging",10560,10834
2021,"POSAVSKA","20 01 38","Wood, not specified in 20 01 37",4000,10000
2021,"PRIMORSKO-NOTRANJSKA","15 01 01","Paper/Cardboard Packaging",0,506
2021,"SAVINJSKA","03 01 05","Sawdust/Chips/Wood, not specified in 03 01 04",0,12180
2021,"SAVINJSKA","15 01 01","Paper/Cardboard Packaging",7716,3898
2021,"SAVINJSKA","15 01 03","Wooden packaging",76660,36240
2021,"SAVINJSKA","17 02 01","Wood",37520,22890
2021,"SAVINJSKA","20 01 38","Wood, not specified in 20 01 37",76390,74180
2021,"ZASAVSKA","15 01 01","Paper/Cardboard Packaging",48885,9044
2021,"ZASAVSKA","15 01 03","Wooden packaging",38620,0
2021,"ZASAVSKA","20 01 38","Wood, not specified in 20 01 37",1680,0
